Column1,Column2
"Lo siento, cancelo.",N
Uso teléfono hablo/chat,N
 No pude tomar el taxi tengo una urgencia gracias ,NEU
Nunca llegó,N
Excelente ,P
.l.,N
Nunca llegó,N
"Atento y cordial, Viaje agradable, Puntualidad",P
........Canceló solicitud,N
"Atento y cordial, Viaje agradable, Puntualidad",P
No quiero taxii,NEU
Problema aparte,NEU
Viaje agradable,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Actitud desagradable,N
Se me presentó una energía y no puedo salir,NEU
Buen servicio  ,P
Buen servicio ,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Atento y cordial,P
Ubicación equivocada,N
Atento y cordial,P
"Muy mal servicio, segunda ocasión que me cancela la carrera",N
excelente jajajaja lelelkeneoe,P
Se fue,N
No llegó ,N
Que cobre lo justo,N
Puntualidad,NEU
mal ubicación ,N
ya no quiero taxi,NEU
El taxímetro estaba alterado el conductor se puso en actitud agresiva  ,N
Viaje agradable,P
Atento y cordial,P
Bien ,P
Y,NEU
Cancela solicitud,N
Hsgajfbfnnf,NEU
Quiso cobrar demás de la tarifa ,N
Bueno,P
No quiero,NEU
Encontre un taxi,NEU
inconvenientes con la direccion seleccionada,NEU
Bueno Atento y cordial,P
Velocidad excesiva,N
"SjsbjabajsbajsbwisVelocidad excesiva, Canceló solicitud",NEU
GPS no marca bien la dirección  ,NEU
Puntualidad,NEU
Solicitamos deliver y no contaba con efectivo aparte de eso llego a la dirección que no era la correcta ,N
error en dirección ,NEU
Viaje agradable,P
Lo siento,NEU
.......,NEU
Ya no quiero,NEU
Atento y cordial,P
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares",P
Puntualidad,NEU
Me vienen a ver,NEU
Cancelada por Call Center.,N
Buen servicio ,P
Nunca llegó,N
Nunca llegó,N
"Atento y cordial, Viaje agradable, Puntualidad",P
"Atento y cordial, Viaje agradable, Puntualidad",P
Viaje agradable,P
Nunca llego Nunca llegó,N
Ya me fui,NEU
Puntualidad,NEU
Actitud desagradable,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Canceló solicitud,N
no hay nadieeeeeeeeseee,N
"Esta demaciado lejos, perdón",N
Atento y cordial,P
No fue capaz de esperar a una persona con silla de ruedas mal servicio e impaciente el chófer,N
Ñ,NEU
Muy buena  ,P
"Atento y cordial, Viaje agradable",P
"Puntualidad, Atento y cordial, Viaje agradable",P
Viaje agradable,P
Atento y cordial,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Estoy de prisa,NEU
Pésimo Nunca llegó,N
Bien ,NEU
Llevó otro cliente,N
Canceló solicitud,N
Bn,NEU
No llego,N
Al querer abordar el taxi ya estaba otro pasajero Llevó otro cliente,N
Atento y cordial,P
No me puedo irUso teléfono habló/chat,NEU
Nunca llegó,N
Wifi/carga de celulares,NEU
No llega ,N
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
No llego,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
"Atento y cordial, Viaje agradable, Puntualidad",P
Person.me llefan a ver ,NEU
"Mil disculpas, mi abuelo hizo doble llamada.  ",NEU
Coji otro taxi,NEU
no veo el taxi,NEU
Ejkdkdke ,NEU
Viaje agradable,P
Estaba con el tiempo disculpas,NEU
No llego Nunca llegó,N
Viaje agradable,P
Viaje agradable,P
Tuve una emergencia tuve que tomar otro taxi mil disculpas ,NEU
Llego otro transporte,NEU
Nada,NEU
mal la dirección ,NEU
Actitud desagradable,N
Puntualidad,NEU
no entiendo su App,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
Nunca llegó,N
"Canceló solicitud, Nunca llegó",N
Nunca llegó donde marque el gps,N
Canceló solicitud,N
Ggtvhgdhh,NEU
No llegó el conductor,N
Fgh ,NEU
Localidad incorrecta Canceló solicitud,N
Servicio de llamadas,NEU
Cambio localidad Canceló solicitud,N
No tenía medidas de bio seguridad sólo tenía barbijo,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Nunca llegó,N
Encontre movilidad particular,NEU
"No andaba solo, sino con otra persona",N
Atento y cordial,P
Atento y cordial,P
Cancelar,NEU
Se me acabaron los datos,NEU
Viaje agradable,P
Canceló solicitud,N
Atento y cordial,P
Nunca llegoNunca llegó,N
Mal pedido de ubicación,NEU
La operadora cancela al tener unidad asignada.,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Incumplida,N
Puntualidad,NEU
Me demoro tuve un  inconveniente,NEU
Ya no necesito,N
Puntualidad,NEU
No llego Nunca llegó,NEU
Atento y cordial,P
Nunk llegó Nunca llegó,N
"Viaje agradable, Puntualidad",P
Nunca llego Nunca llegó,N
"Atento y cordial, Puntualidad",P
Mal la dirección,NEU
Mal la dirección,NEU
Cancelada por Call Center.,N
esta muy lejos ,N
Canceló solicitud,N
Llevó otro cliente,N
Atento y cordial,P
"Viaje agradable, Atento y cordial, Puntualidad",P
la unidad no llego,N
Wifi/carga de celulares,NEU
No voy a viajar gracias,NEU
Apuro,NEU
"Atento y cordial, Puntualidad",P
bien,P
Cancelada por Call Center.,N
Gracias ,P
La aplicación no respondia,NEU
Estoy de apuro,NEU
nunca llego la unidad ,N
Nunca llegó,N
Excelente  ,P
Viaje agradable,P
Error al pedir taxi,NEU
...............,NEU
No llego  ,N
Viaje agradable,P
Canceló solicitud,N
"Atento y cordial, Viaje agradable, Puntualidad",P
No llego,N
Actitud desagradable,N
La unidad tardó más de lo debido ,N
Gracias perdón  ,NEU
Noooo ..!!!!!!!!!! Nunca llegó,N
nada de nada,N
Buena ,P
Puntualidad,NEU
Ya me fui,NEU
No necesito gracias,NEU
NnnnnnnCanceló solicitud,N
Canceló solicitud,N
Otros,NEU
Mal servicio,N
No todavía,N
Mas luego voy a solicitar,NEU
Cancelada por Call Center.,N
Otra dureccion señor,NEU
Canceló solicitud,N
Nunca llegó,N
Puntualidad,NEU
1 lark ,NEU
La unidad se fue a otra dirección,N
Ok ,P
Viaje agradable,P
"Buen taxista, no pude abordar al taxi por incovenientes en mi residencia, desculpe. ",P
Nunca llegó,N
Atento y cordial,P
Canceló solicitud,N
Atento y cordial,P
Atento y cordial,P
Canceló solicitud,N
Puntualidad,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
Pesimo servicio confirma y luego cancela  ,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Nunca llegó,N
Pésimo servicio 2 unidades y ninguna de ellas llega  ,N
Puntualidad,NEU
No nos realizó la carrera Actitud desagradable,N
Puntualidad,NEU
No llego,N
No llego ,N
Viaje agradable,P
demora 10 minutos ,N
Limpieza de vehículo,N
Canceló solicitud,N
OK        b,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Nunca llegó,N
Me voy a demorar disculpe,NEU
Atento y cordial,P
Puntualidad,NEU
"Pésimo servicio, no me vuelvan a mandar a éste conductor irresponsable...!",N
"Atento y cordial, Viaje agradable, Puntualidad",P
Puntualidad,NEU
No llego Nunca llegó,N
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Que se guíe mejor en el mapa,N
Se me presentó un imprevisto.. mil disculpas,NEU
.............,NEU
No vino a la casa ,N
"Atento y cordial, Puntualidad",P
mala nunca llego,N
Atento y cordial,P
Tome un taxi que llegó más rápido,NEU
Buena  ,P
Atento y cordial,P
Puntualidad,NEU
esta en otra dirección ,N
Viaje agradable,P
Atento y cordial,P
tengo prisa ,NEU
cancelar unidad ,NEU
Que se guíe mejor en el mapa,N
Ya no,NEU
Viaje agradable,P
ya pasaron por mi ...hermano,NEU
Muy eficiente gracias  ,P
Si llego ,P
Se encuentra muy lejos,N
Perdone,NEU
Exelente  ,P
Gracias,P
Nunca llegó,N
 Puntualidad,NEU
Bueno ,P
si llego el taxi un excelente servicio ,P
Ya no estaba trabajando  ,NEU
Tiempo ,NEU
"Atento y cordial, Viaje agradable",P
Atento y cordial,P
Nunca llegó,N
Puntualidad,NEU
Viaje agradable,P
"Ya estaba en el taxi que aceptó y no se por qué, me mandaron otro mas. Supongo que error de la aplicación. Todo bien con el primer auto.",N
Canceló,N
nunca llegoooooo,N
Puntualidad,
No es serio en la carrera,N
está en otra dirección ,N
Está lejos,N
Muy gentil,P
Cancelada por Call Center.,N
"Atento y cordial, Puntualidad",P
No llevo 4 pasajeros,N
Trato al cliente,NEU
Atento y cordial,P
Reportó que no puede llegar,N
Dirección errada,N
Nunca llegó,N
Nunca llegó. Pésimo servicio .,N
1,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
Canceló solicitud,N
Atento y cordial,P
Inconveniente personal,NEU
Nunca llegó,N
diligencias ,NEU
Canceló solicitud,N
........................,NEU
Cancelan la carrera y hacen perder bastante tiempo sean más serios y centrados si no van a poder,N
Mal servicio no quiso llevar amk hijo adelante estábamos 4 personas ,N
Viaje agradable,P
Nunca llegó,N
Cancelada por Call Center.,N
aaaaaaaaaaaaaaa,NEU
No llego Nunca llegó,N
Atento y cordial,P
ya deje deje ,N
"Atento y cordial, Viaje agradable, Puntualidad",P
"El señor reinicia taxímetro sin terminar la carrera y quiere cobrar 3$ cuando sale 2,34$ precio app",N
Muy bien recuerda que la puntualidad es el éxito  ,P
Nunca llegó,N
Atento y cordial,P
Cancelada por Call Center.,N
Atento y cordial,P
. Viaje agradable,P
ME CONFUNDÍ DE UNIDAD DE KTAXI ,NEU
Nunca llegó,N
"Me canceló, que poco profesional",N
Viaje agradable,P
Me amenazó e insulto  ,N
Ya no requiero el servicio,NEU
Mal servicio,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Atento y cordial,P
Puntualidad,NEU
Pésimo servicio,N
Atento y cordial,P
XdNunca llegó,N
Viaje agradable,P
Atento y cordial,P
no llegó el taxi y ya no pudimos llegar pronto ,N
Ok ,P
No llego,N
NelCanceló solicitud,N
Pésimo servicio Vehículo incorrecto,N
Puntualidad,NEU
Viaje agradable,P
super bueno el servicio,P
Canceló solicitud,N
Que cobre lo justo,N
Mala educación,N
Viaje agradable,P
"Puntualidad, Atento y cordial, Viaje agradable",P
Canceló solicitud,N
No pudo llegar,N
Puntualidad,NEU
Trato al cliente,NEU
Atento y cordial,P
No llego ,N
"Atento y cordial, Viaje agradable, Puntualidad",P
No llego,P
gracias no llego ,N
"Cancelo la carrera, después de tomarla.",N
Atento y cordial,P
Porque nunca llego ,N
Nunca llegó,N
Actitud desagradable,N
Ya llegó el taxi ,NEU
Viaje agradable,P
Puntualidad,NEU
"Atento y cordial, Puntualidad, Servicio de llamadas",P
"JAMÁS LLEGO Canceló solicitud, Nunca llegó",N
Viaje agradable,P
Ya m llegaron a ver,NEU
Viaje agradable,P
si si aajjajaj,NEU
coloqué mal el destino ,NEU
Trato al cliente,NEU
Mal gps,NEU
👍 ,P
Atento y cordial,P
"Atento y cordial, Viaje agradable, Puntualidad",P
No llego ,N
Wifi/carga de celulares,NEU
Mala Arencion,N
Atento y cordial,P
0,NEU
JurídicaCanceló solicitud,N
9,NEU
Actitud desagradable,N
Atento y cordial,P
por error de dirección ,NEU
Nunca llegó,N
Viaje agradable,P
Atento y cordial,P
Puntualidad,NEU
E ,NEU
No llego en su tiempo ,N
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Siempre cansela mal pesimo,N
Que pasó pana,NEU
Gracias ,P
Atento y cordial,P
Otro taxi,NEU
Hwhsksv,NEU
"Lo siento, ya no necesito la unidad ",NEU
Canceló solicitud,N
No necesuto,NEU
Servicio de llamadas,NEU
Nunca llego,N
Pesimo servicio  ,N
Pésimo servicio  ,N
Ya no deseo,NEU
Cancelada por Call Center.,N
Atento y cordial,P
Me equivoqué,NEU
Canceló solicitud,N
Mala atencion Actitud desagradable,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Atento y cordial,P
Me llegaron. A ver,NEU
Atento y cordial,P
Nunca llegó,N
Atento y cordial,P
"Atento y cordial, Puntualidad",P
Actitud desagradable,N
Nunca llego a la ubicación indicada,N
"Atento y cordial, Viaje agradable",P
Puntualidad,NEU
"Atento y cordial, Puntualidad",P
👍 ,P
Hakanans,NEU
Nada,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
Servicio de llamadas,NEU
Viaje agradable,P
Viaje agradable,P
"Muy cordial el conductorAtento y cordial, Viaje agradable, Puntualidad",P
Atento y cordial,P
Canceló solicitud,N
Viaje agradable,P
Servicio de llamadas,NEU
Necesito q me envíe otra unidad,NEU
Necesito q me ayude con otra unidad,NEU
Urgencia,NEU
Atento y cordial,P
Puntualidad,NEU
No espero nisiquera 5 min Canceló solicitud,N
Actitud desagradable,N
Canceló solicitud,N
No deseo,N
Disculpe ya no necesito,NEU
Bueno ,P
Cancela la carrera,N
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Canceló solicitud,N
Otros,NEU
No pudo llegar,N
Disculpe no necesito,NEU
Buen servicio  ,P
No ,NEU
Mala,N
Cancelada por Call Center.,N
Necesito hacer otra,NEU
Vale verga,N
No llego,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Actitud desagradable,N
No llego Nunca llegó,N
ubicación errónea,N
No llegoNunca llegó,N
Nunca llegó,N
Bien,P
No cumple,N
tardo demasiado ,N
Que mal servicio,N
Mal servicio ,N
Has hace perder perder tiempo ,N
"El señor no nos quiso llevar Vehículo incorrecto, Actitud desagradable",N
Me vinieron a ver mil disculpas ,NEU
Nunca llegó,N
Puntualidad,NEU
Gracias ,P
Buena  atención,P
Canceló solicitud,N
"Muy buen conductor se le agradece Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares",P
Poca experiencia con el gpsQue se guíe mejor en el mapa,NEU
Tener cambio (sueltos),N
Ok,P
No llego Nunca llegó,N
Fueron dos minutos pero pasó más del tiempo establecido ,N
Atento y cordial,P
Viaje agradable,P
No necesito la unidad.,NEU
Bien ,P
Nunca llegó,N
Viaje agradable,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Bien ,P
Viaje agradable,P
La cancele porque en mi celular la direccion no era la correcta,NEU
"Atento y cordial, Puntualidad",P
No necesito,NEU
La aplicación dio mal la dirección,NEU
"Viaje agradable, Puntualidad",P
Mal servicio es la segundo vez q no llega,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Que mal,N
Canceló solicitud,N
Pesimo servicio.. Necesitaba el taxi de urgencia,N
Atento y cordial,P
Viaje agradable,P
Puntualidad,NEU
Puntualidad,NEU
Atento y cordial,P
no aparece la unidad en el mapa ,NEU
Viaje agradable,P
Nunca llegó,N
Cancelo,N
Gravias ,P
"Viaje agradable, Atento y cordial, Puntualidad",P
Puntualidad,NEU
Nunca llegó,N
Atento y cordial,P
No llegoNunca llegó,N
Pésimo servicio del conductor,N
"Atento y cordial, Viaje agradable, Puntualidad",P
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Buen servicio y precio justo...gracias seguro volveré a utilizar  ,P
Viaje agradable,P
mucho se demoró el conductor ,N
"Atento y cordial, Viaje agradable, Puntualidad",P
. ,NEU
hable bien,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
Nunca llegó,N
Solicito cancelación,N
Puntualidad,NEU
......,NEU
Error del usuario,N
Atento y cordial,P
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Viaje agradable,P
Wifi/carga de celulares,NEU
Ya no necesito,NEU
la unidad no llegó ,N
Buena ,P
Mal ,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Viaje agradable,P
Estuvimos esperando ,NEU
No se mueve ,N
Excelente servicio ,P
Mal sercicio,N
Viaje agradable,P
pésimo servicio ,N
equivocado ,NEU
Cancelar solicitud,N
BienAtento y cordial,P
Ok ,P
no llego el taxi ,N
Gravias  ,P
Nunca llegó,N
Puntualidad,NEU
La unidos pidió suspender,N
Urgencia ,NEU
Atento y cordial,P
No encuentro la unidad,N
En espera,NEU
Excelente  ,P
Atento y cordial,P
Ya no deseo el servicio,NEU
Aun no estoy lista,NEU
no llego el vehículo ,N
"Viaje agradable, Puntualidad",P
Excelente  ,P
Canceló solicitud,N
No llega,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Pasaron por mi perdón,NEU
"Atento y cordial, Puntualidad",P
Atento y cordial,P
NoLlevó otro cliente,N
Nunca llegó,N
Puntualidad,NEU
Nunca llegó,N
Puntualidad,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
Puntualidad,NEU
Viaje agradable,P
Mal servicio,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Ya no requiero el servicio ,NEU
Viaje agradable,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Pésimo se pone enojado y no da el cambio  ,N
Viaje agradable,P
Atento y cordial,P
Puntualidad,NEU
Gracias  ,P
Atento y cordial,P
Lo cancelo,N
Puntualidad,NEU
Gps no sirve,NEU
Canceló solicitud,N
Canceló solicitud,N
no llego la unidad ,N
Es un mal servicio Canceló solicitud,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Nunca llegó,N
Puntualidad,NEU
Que cobre lo justo,N
Atento y cordial,P
Nunca llegó Nunca llegó,N
Puntualidad,NEU
Otros,NEU
Atento y cordial,P
Nunca llegó,N
Puntualidad,NEU
Nunca llegó,N
No llegó ,N
Puntualidad,NEU
Puntualidad,NEU
Ok,P
Puntualidad,NEU
Puntualidad,NEU
No acepto necesito de urgencia,N
Atento y cordial,P
nada escoji otro ,NEU
No vino que mal servicio no es la primera vez,N
Puntualidad,NEU
Puntualidad,NEU
No vino,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Puntualidad,NEU
Necesito una mas rapido,N
Mucho tiemp,N
Did not come Canceló solicitud,N
No puedo sslir,NEU
Inconveniente,NEU
Atento y cordial,P
Excelente  ,P
Viaje agradable,P
Cancelada por Call Center.,N
Canceló solicitud,N
Viaje agradable,P
Puntualidad,NEU
No llegó,N
Ya no necesito,NEU
Viaje agradable,P
muy bueno  ,P
Viaje agradable,P
Cancelada por Call Center.,N
"Viaje agradable, Puntualidad, Atento y cordial",P
Gracias ,P
Tuve una emergencia médica,NEU
Viaje agradable,P
Atento y cordial,P
No saldre,NEU
Llevó otro cliente,N
Atento y cordial,P
Puntualidad,NEU
Jamás llegó,P
Viaje agradable,P
Pésimo servicio....no cobra lo justo y que cobran todas las unidades....Cobro inadecuado,N
Actitud desagradable,N
Atento y cordial,P
No llego Nunca llegó,N
Encotre otre unidad,NEU
Puntualidad,NEU
Mal direccion,N
Salida cancelada,NEU
Mal servicio.... cancela las carreras ... muy mal pero muy mal servicio,N
....,NEU
Nunca llego mal servicio 😡😡😡😡😡,N
Puntualidad,NEU
Cancelada por Call Center.,N
Mal manejo de la app por mi parte.,NEU
ok ,P
Tener cambio (sueltos),NEU
Muchas gracias!! ,P
Me hizo esperar de gana,N
Actitud desagradable,N
Ya no deseo la unidad,NEU
Me confundí,NEU
no llego al destino ,N
Nunca llegó,N
Nunca llegó,N
J Jjjj,NEU
Excelente sin problemas llegó puntual ,P
Jxjsbd,NEU
"no llegóAtento y cordial, Viaje agradable, Puntualidad",NEU
Viaje agradable,P
Atento y cordial,P
Cancelada por Call Center.,N
Atento y cordial,P
Carisimo a 5 cuadras 20 bs...,NEU
Nunca llegó,N
Que cobre lo justo,N
Ya no necesito gracias,NEU
Cancelada por Call Center.,N
buen servicio ,P
Canceló solicitud,N
Cancelada por Call Center.,N
Muy paciente y espero mucho tiempo.,N
Ya llegaron a recogerlos,NEU
.l.,NEU
Atento y cordial,P
Viaje agradable,P
Una persona amo educada terrible esa clase de gente hasta hoy utilice esta aplicación porque no tienen gente con educación Actitud desagradable,N
Canceló solicitud,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Gracias,P
Annans ,NEU
Puntualidad,NEU
"Canceló solicitud, Nunca llegó",N
Atento y cordial,P
... ,NEU
Nunca llegoLlevó otro cliente,N
Actitud desagradable,N
Nakalahsbmakaanba,NEU
si llegó a tiempo ,P
Gracias  ,P
Ok ,P
Buena la atencion  ,P
Pésimo servicio de esta unidad  ,N
Canceló solicitud,N
Actitud desagradable,N
Excelente Puntualidad,P
Atento y cordial,P
KoolPuntualidad,NEU
Gracias ,P
Nunca llegó,N
Pésimo conductor no quiero que me atienda nuevamente es irresponsable,N
Mucho tiempo  ,N
19,NEU
No llegó ,N
Atento y cordial,P
"Atento y cordial, Puntualidad, Viaje agradable",P
Pésimo mal servicio  ,N
Viaje agradable,P
Nunca lleho ,N
No llegóNunca llegó,N
Velocidad excesiva,N
🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,N
"Atento y cordial, Puntualidad",P
Puntualidad,NEU
Canceló solicitud,N
no me espero,N
Atento y cordial,P
Ya culminó la carrera,NEU
no quiso retroceder una cuadra para recogerme estoy con un paciente ,N
Puntualidad,NEU
Nunca llegó,N
Dentro de los 3 min no llego Nunca llegó,N
Cobró más de lo que era La ruta Cobro inadecuado,N
Puntualidad,NEU
Viaje agradable,P
5,NEU
Didnt know where to go,N
Jw7dnsñbf,NEU
"Muy bien Atento y cordial, Puntualidad, Viaje agradable, Wifi/carga de celulares, Servicio de llamadas",P
Cobro exageradoActitud desagradable,N
Cancelación de salida,N
Todo bien,P
Cancelar,N
Porque motivo si estoy en la puerta,N
Viaje agradable,P
Nunca llegó Nunca llegó,N
Atento y cordial,P
No llego,N
"Viaje agradable, Puntualidad",P
Excelente  ,P
Nunca llegó,N
Ya no necesito muchas gracias paso un inconveniente mil disculpas,NEU
Mal servicio,N
Cobro inadecuado,N
Viaje agradable,P
"Atento y cordial, Wifi/carga de celulares",P
Mil disculpas he puesto mal la referencia,NEU
"Deje de requerir el taxi, mil disculpas ",NEU
Atento y cordial,P
Atento y cordial,P
Es otra dirección,NEU
Atento y cordial,P
Puntualidad,NEU
Sorry bro,NEU
Puntualidad,NEU
Canceló solicitud,N
Nunca llegó ,N
........no me contesta,N
Atento y cordial,P
Ya no ,NEU
"Atento y cordial, Viaje agradable",P
No mampara Música/volumen,N
Bien ,P
Puntualidad,NEU
Ok ,P
Buena  ,P
Perodn me equivoqué,NEU
Cancelada por Call Center.,N
no salgo en e taxi ,NEU
Excelente Atento y cordial,P
Mala ,N
La operadora cancela al tener unidad asignada.,N
Canceló solicitud,N
B ,NEU
Nunca llegó,N
Cancelada por Call Center.,N
Gracias ,P
Nunca llegó,N
Atento y cordial,P
Me quedo en casa,NEU
5,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
Atento y cordial,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Bien  ,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Atento y cordial,P
"Viaje agradable, Puntualidad",P
Puntualidad,NEU
Atento y cordial,P
Canceló la solicitud cuando yo ya estaba afuera,N
Puntualidad,NEU
No llega unidad ,N
Nunca llegó,N
Gracias  ,P
demasiado tiempo ,N
"Atento y cordial, Viaje agradable",P
"Puntualidad, Atento y cordial, Viaje agradable",P
Canceló solicitud,N
Ok ,P
Da tiempo a solicitudes de prueba  ,NEU
"Atento y cordial, Viaje agradable, Puntualidad, Servicio de llamadas",P
Atento y cordial,P
Ño llegó Nunca llegó,N
Atento y cordial,P
Bien Atento y cordial,P
Atento y cordial,P
Atento y cordial,P
Atento y cordial,P
Nunca llegoNunca llegó,N
Viaje agradable,P
No llegó,N
Puntualidad,NEU
priblemas,NEU
didn’t find my location ,N
Mal servicio,N
"Viaje agradable, Puntualidad",P
"Atento y cordial, Viaje agradable, Puntualidad",P
Ingreso mal de la ubicación,NEU
No llegoNunca llegó,N
Viaje agradable,P
Atento y cordial,P
Viaje agradable,P
"Atento y cordial, Viaje agradable, Puntualidad",P
"Viaje agradable, Puntualidad, Servicio de llamadas",P
bBsndndndnsndn,NEU
Nunca llegó,N
Vehículo incorrecto,N
Exele te ,P
Gracias  ,P
Nunca llegó,N
Canceló solicitud,N
Conductor en estado etílico ,N
MDisculpe la cancelación ,NEU
Nunca llegó,N
Nunca llegó,N
Viaje agradable,P
Se retiró sin informar,N
Si llego,P
El tiempo de espera de la solicitud ha caducado,N
Tiempo ,NEU
No sé actualizar,NEU
.............,NEU
No saldre en este momento,NEU
Atento y cordial,P
"Atento y cordial, Viaje agradable, Puntualidad",P
graciaa  ,P
Canceló solicitud,N
Cancelada por Call Center.,N
No llego ,N
Bueno,P
Puntualidad,NEU
Atento y cordial,P
Canceló solicitud,N
Motivo?,N
"Atento y cordial, Viaje agradable",P
Xxxx,NEU
Que cobre lo justo,N
No llegoNunca llegó,N
Cancelo la solicitud,N
Disculpe,NEU
Muy  buena exelente taxista  ,P
Tomó una ruta más larga innecesariamente ,N
Atento y cordial,P
Nunca llegó,N
Señalé mi punto de destino y cuando había dicho al conductor que debía detenerse seguía avanzando alejándome de mi destino y así dos veces más. PésimoTrato al cliente,N
Canceló solicitud,N
No queremos,NEU
No llego Nunca llegó,N
No hay problema,P
"CoCanceló solicitud, Nunca llegó",N
Ya no deseo viajar,NEU
Gracias,P
Muy caro,N
"Wifi/carga de celulares, Viaje agradable, Atento y cordial, Servicio de llamadas, Puntualidad",P
Mal servicioNunca llegó,N
"Wifi/carga de celulares, Servicio de llamadas",NEU
"Su taxímetro estaba mal configurado pues duplicó el precio y la velocidad y actitud Velocidad excesiva, Actitud desagradable",N
Me tocó cancelar y me exige el pago ,N
Hhikmnbgrtresdxgjjuiio,NEU
Emergencia ,NEU
"ya me surgió un inconveniente y no pude yo, acercarme al taxi",NEU
Toque de queda,NEU
Me cancelo la carrera,N
"......,.,,,.,,.,,,,,,,,,",NEU
esta mal la ubicación ,NEU
Tomó otra ruta,N
Puntualidad,NEU
Puntualidad,NEU
Mal ubicacion,NEU
"Atento y cordial, Viaje agradable",P
Hhh ,NEU
El taxímetro tiene incompleto los dígitos en el panel donde se muestra el precio ,N
Viaje agradable,P
",,,,,,",N
Buen Servicio! ,P
no llega el taxi a tiempo,N
pesimo ssrvicio si solicito la unidad ds porque necesesito movilizarme de urgencia.,N
No es necesario,NEU
Puntualidad,NEU
no responde el saludo mal educado  ,N
Bueno ,P
No puedo salir,NEU
Vacío,NEU
"Atento y cordial, Puntualidad",P
Pésimo,N
Bueno,P
"Viaje agradable, Puntualidad",P
"Que se guíe mejor en el mapa, Que cobre lo justo, Puntualidad, Limpieza de vehículo",N
Mmmmpjig8,NEU
No pedi,NEU
Nunca llegó,N
Nunca llego Nunca llegó,N
Rápido el servicio  ,P
Yo cancele,NEU
Para que acepta si no va a venir,N
No llega en el tiempo Nunca llegó,N
Viaje agradable,P
oj ,NEU
Mejorar aseo del vehículo ,N
"Atento y cordial, Viaje agradable",P
Buena la atencion,P
Canceló solicitud,N
"Atento y cordial, Viaje agradable, Puntualidad, Servicio de llamadas",P
"Atento y cordial, Viaje agradable, Puntualidad",P
Nunca llegó,N
Viaje agradable,P
Viaje agradable,P
No llego ,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Muy bien recuerda que la puntualidad es el éxito  ,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Atento y cordial,P
Bueno bb ,P
"Atento y cordial, Puntualidad",P
Nunca llegó,N
Atento y cordial,P
perdón graciaaaaaas,NEU
pppopppppooooo,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
Puntualidad,NEU
Atento y cordial,P
Siempre no  lo ocupo,NEU
Me confundi de taxi,NEU
Nunca llegó,N
Atento y cordial,P
Puntualidad,NEU
"Atento y cordial, Puntualidad",P
Wifi/carga de celulares,NEU
Estaba apurada,NEU
Viaje agradable,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Buena ,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Perdón me subí a otro taxi :( ,NEU
10,NEU
Atento y cordial,P
Atento y cordial,P
Puntualidad,NEU
