comentario,valor,equivalente
Porque no vino,N,0
Nunca llego,N,0
No llego  ,N,0
Hfvhjj,NEU,1
Demasiado tráfico,NEU,1
Lejania,N,0
Pedido por niño,NEU,1
Mal servicio,N,0
Puntualidad,NEU,1
.... ,NEU,1
"Atento y cordial, Viaje agradable",P,2
Falta de datos,NEU,1
No responde pésimo servicio,N,0
Canceló solicitud,N,0
Canceló solicitud,N,0
Llevó otro cliente,N,0
Puntualidad,NEU,1
Puntualidad,NEU,1
Canceló solicitud,N,0
no llego a la ubicación ,N,0
Atento y cordial,P,2
Puntualidad,NEU,1
Actitud desagradable,N,0
emergencia familiar ,NEU,1
Mmmggcff,NEU,1
Even espera Nunca llegó,N,0
Puntualidad,NEU,1
Nunca llegó,N,0
Pésimo servicio,N,0
Viaje agradable,P,2
no deseo el servicio ,NEU,1
Nunca llegó,N,0
Viaje agradable,P,2
"Atento y cordial, Viaje agradable",P,2
Puntualidad,NEU,1
"Espere 15 minutos y nunca llego que clase de servicio es este, ni siquiera contestan ",N,0
"Muy gentil, esperó que me abrieran la puerta. Atento y cordial, Viaje agradable, Puntualidad",P,2
Viaje agradable,P,2
"Canceló solicitud, Nunca llegó",N,0
Nunca llegó,N,0
Sin papel dice ,NEU,1
Viaje agradable,P,2
Canceló solicitud,N,0
Viaje agradable,P,2
Puntualidad,NEU,1
Viaje agradable,P,2
Servicio de llamadas,NEU,1
1000 diaculpas,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Atento y cordial,P,2
"Atento y cordial, Viaje agradable",P,2
Herror,NEU,1
No sé va,NEU,1
Canceló solicitud,N,0
"Atento y cordial, Puntualidad",P,2
Se demoro,N,0
Cancelada por Call Center.,N,0
Canceló solicitud,N,0
surgió un inconveniente ,N,0
Cobro más de lo que era y se fue por un camino más largoCobro inadecuado,N,0
disculpe ya no necesitamos ,NEU,1
buena ,P,2
"Viaje agradable, Puntualidad, Atento y cordial",P,2
Muy buena persona excelente choferViaje agradable,P,2
BuenaCanceló solicitud,N,0
"Velocidad excesiva, Llevó otro cliente",N,0
Viaje agradable,P,2
Nunca llegó,N,0
"Canceló solicitud, Nunca llegó",N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Nunca llegóNunca llegó,N,0
Puntualidad,NEU,1
Ok ,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
yo equivoqué ,NEU,1
Nunca llegó,N,0
Le dije por las Americas incluso le dije que para evitar él traficoQue se guíe mejor en el mapa,N,0
Nunca llegó,N,0
no llego ........,N,0
Canceló solicitud,N,0
Lo peor muy impaciente,N,0
Mal servicio cancelar ya aceptada la carrera.,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
"Canceló solicitud, Nunca llegó",N,0
"Me canceló la solicitud estaba esperando hace ratoCanceló solicitud, Actitud desagradable",N,0
no llegó la unidad ,N,0
No saldré,NEU,1
Puntualidad,NEU,1
Bueno  ,P,2
Atento y cordial,P,2
"GraciasAtento y cordial, Viaje agradable, Puntualidad",P,2
Atento y cordial,P,2
está muy lejos ,N,0
ya no pude tomar ese taxi porque le di mal ladirección ,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Viaje agradable,P,2
El taxi está lejos no llegará en el tiempo indicado,N,0
.........,NEU,1
no llega la unidad,N,0
Pésimo,N,0
se desvió de la ubicación ,N,0
Viaje agradable,P,2
Cancelada por Call Center.,N,0
"Canceló solicitud, Nunca llegó",N,0
La operadora cancela al tener unidad asignada.,N,0
No llego en el tiempo esperado  ,N,0
esta demasiado lejos y no va a llegar en dos minutos ,N,0
mal ubicación ,N,0
No llegueNunca llegó,N,0
Cancelar,N,0
Actitud desagradable,N,0
No llega  ,N,0
Ya no es necesario,NEU,1
Puntualidad,NEU,1
"Lo siento, cancelo.",N,0
Uso teléfono hablo/chat,N,0
 No pude tomar el taxi tengo una urgencia gracias ,NEU,1
Nunca llegó,N,0
Excelente ,P,2
.l.,N,0
Nunca llegó,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
........Canceló solicitud,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
No quiero taxii,NEU,1
Problema aparte,NEU,1
Viaje agradable,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Actitud desagradable,N,0
Se me presentó una energía y no puedo salir,NEU,1
Buen servicio  ,P,2
Buen servicio ,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Atento y cordial,P,2
Ubicación equivocada,N,0
Atento y cordial,P,2
"Muy mal servicio, segunda ocasión que me cancela la carrera",N,0
excelente jajajaja lelelkeneoe,P,2
Se fue,N,0
No llegó ,N,0
Que cobre lo justo,N,0
Puntualidad,NEU,1
mal ubicación ,N,0
ya no quiero taxi,NEU,1
El taxímetro estaba alterado el conductor se puso en actitud agresiva  ,N,0
Viaje agradable,P,2
Atento y cordial,P,2
Bien ,P,2
Y,NEU,1
Cancela solicitud,N,0
Hsgajfbfnnf,NEU,1
Quiso cobrar demás de la tarifa ,N,0
Bueno,P,2
No quiero,NEU,1
Encontre un taxi,NEU,1
inconvenientes con la direccion seleccionada,NEU,1
Bueno Atento y cordial,P,2
Velocidad excesiva,N,0
"SjsbjabajsbajsbwisVelocidad excesiva, Canceló solicitud",NEU,1
GPS no marca bien la dirección  ,NEU,1
Puntualidad,NEU,1
Solicitamos deliver y no contaba con efectivo aparte de eso llego a la dirección que no era la correcta ,N,0
error en dirección ,NEU,1
Viaje agradable,P,2
Lo siento,NEU,1
.......,NEU,1
Ya no quiero,NEU,1
Atento y cordial,P,2
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares",P,2
Puntualidad,NEU,1
Me vienen a ver,NEU,1
Cancelada por Call Center.,N,0
Buen servicio ,P,2
Nunca llegó,N,0
Nunca llegó,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Viaje agradable,P,2
Nunca llego Nunca llegó,N,0
Ya me fui,NEU,1
Puntualidad,NEU,1
Actitud desagradable,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Canceló solicitud,N,0
no hay nadieeeeeeeeseee,N,0
"Esta demaciado lejos, perdón",N,0
Atento y cordial,P,2
No fue capaz de esperar a una persona con silla de ruedas mal servicio e impaciente el chófer,N,0
Ñ,NEU,1
Muy buena  ,P,2
"Atento y cordial, Viaje agradable",P,2
"Puntualidad, Atento y cordial, Viaje agradable",P,2
Viaje agradable,P,2
Atento y cordial,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Estoy de prisa,NEU,1
Pésimo Nunca llegó,N,0
Bien ,NEU,1
Llevó otro cliente,N,0
Canceló solicitud,N,0
Bn,NEU,1
No llego,N,0
Al querer abordar el taxi ya estaba otro pasajero Llevó otro cliente,N,0
Atento y cordial,P,2
No me puedo irUso teléfono habló/chat,NEU,1
Nunca llegó,N,0
Wifi/carga de celulares,NEU,1
No llega ,N,0
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
No llego,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Person.me llefan a ver ,NEU,1
"Mil disculpas, mi abuelo hizo doble llamada.  ",NEU,1
Coji otro taxi,NEU,1
no veo el taxi,NEU,1
Ejkdkdke ,NEU,1
Viaje agradable,P,2
Estaba con el tiempo disculpas,NEU,1
No llego Nunca llegó,N,0
Viaje agradable,P,2
Viaje agradable,P,2
Tuve una emergencia tuve que tomar otro taxi mil disculpas ,NEU,1
Llego otro transporte,NEU,1
Nada,NEU,1
mal la dirección ,NEU,1
Actitud desagradable,N,0
Puntualidad,NEU,1
no entiendo su App,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Nunca llegó,N,0
"Canceló solicitud, Nunca llegó",N,0
Nunca llegó donde marque el gps,N,0
Canceló solicitud,N,0
Ggtvhgdhh,NEU,1
No llegó el conductor,N,0
Fgh ,NEU,1
Localidad incorrecta Canceló solicitud,N,0
Servicio de llamadas,NEU,1
Cambio localidad Canceló solicitud,N,0
No tenía medidas de bio seguridad sólo tenía barbijo,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Nunca llegó,N,0
Encontre movilidad particular,NEU,1
"No andaba solo, sino con otra persona",N,0
Atento y cordial,P,2
Atento y cordial,P,2
Cancelar,NEU,1
Se me acabaron los datos,NEU,1
Viaje agradable,P,2
Canceló solicitud,N,0
Atento y cordial,P,2
Nunca llegoNunca llegó,N,0
Mal pedido de ubicación,NEU,1
La operadora cancela al tener unidad asignada.,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Incumplida,N,0
Puntualidad,NEU,1
Me demoro tuve un  inconveniente,NEU,1
Ya no necesito,N,0
Puntualidad,NEU,1
No llego Nunca llegó,NEU,1
Atento y cordial,P,2
Nunk llegó Nunca llegó,N,0
"Viaje agradable, Puntualidad",P,2
Nunca llego Nunca llegó,N,0
"Atento y cordial, Puntualidad",P,2
Mal la dirección,NEU,1
Mal la dirección,NEU,1
Cancelada por Call Center.,N,0
esta muy lejos ,N,0
Canceló solicitud,N,0
Llevó otro cliente,N,0
Atento y cordial,P,2
"Viaje agradable, Atento y cordial, Puntualidad",P,2
la unidad no llego,N,0
Wifi/carga de celulares,NEU,1
No voy a viajar gracias,NEU,1
Apuro,NEU,1
"Atento y cordial, Puntualidad",P,2
bien,P,2
Cancelada por Call Center.,N,0
Gracias ,P,2
La aplicación no respondia,NEU,1
Estoy de apuro,NEU,1
nunca llego la unidad ,N,0
Nunca llegó,N,0
Excelente  ,P,2
Viaje agradable,P,2
Error al pedir taxi,NEU,1
...............,NEU,1
No llego  ,N,0
Viaje agradable,P,2
Canceló solicitud,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
No llego,N,0
Actitud desagradable,N,0
La unidad tardó más de lo debido ,N,0
Gracias perdón  ,NEU,1
Noooo ..!!!!!!!!!! Nunca llegó,N,0
nada de nada,N,0
Buena ,P,2
Puntualidad,NEU,1
Ya me fui,NEU,1
No necesito gracias,NEU,1
NnnnnnnCanceló solicitud,N,0
Canceló solicitud,N,0
Otros,NEU,1
Mal servicio,N,0
No todavía,N,0
Mas luego voy a solicitar,NEU,1
Cancelada por Call Center.,N,0
Otra dureccion señor,NEU,1
Canceló solicitud,N,0
Nunca llegó,N,0
Puntualidad,NEU,1
1 lark ,NEU,1
La unidad se fue a otra dirección,N,0
Ok ,P,2
Viaje agradable,P,2
"Buen taxista, no pude abordar al taxi por incovenientes en mi residencia, desculpe. ",P,2
Nunca llegó,N,0
Atento y cordial,P,2
Canceló solicitud,N,0
Atento y cordial,P,2
Atento y cordial,P,2
Canceló solicitud,N,0
Puntualidad,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Pesimo servicio confirma y luego cancela  ,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Nunca llegó,N,0
Pésimo servicio 2 unidades y ninguna de ellas llega  ,N,0
Puntualidad,NEU,1
No nos realizó la carrera Actitud desagradable,N,0
Puntualidad,NEU,1
No llego,N,0
No llego ,N,0
Viaje agradable,P,2
demora 10 minutos ,N,0
Limpieza de vehículo,N,0
Canceló solicitud,N,0
OK        b,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Nunca llegó,N,0
Me voy a demorar disculpe,NEU,1
Atento y cordial,P,2
Puntualidad,NEU,1
"Pésimo servicio, no me vuelvan a mandar a éste conductor irresponsable...!",N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Puntualidad,NEU,1
No llego Nunca llegó,N,0
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Que se guíe mejor en el mapa,N,0
Se me presentó un imprevisto.. mil disculpas,NEU,1
.............,NEU,1
No vino a la casa ,N,0
"Atento y cordial, Puntualidad",P,2
mala nunca llego,N,0
Atento y cordial,P,2
Tome un taxi que llegó más rápido,NEU,1
Buena  ,P,2
Atento y cordial,P,2
Puntualidad,NEU,1
esta en otra dirección ,N,0
Viaje agradable,P,2
Atento y cordial,P,2
tengo prisa ,NEU,1
cancelar unidad ,NEU,1
Que se guíe mejor en el mapa,N,0
Ya no,NEU,1
Viaje agradable,P,2
ya pasaron por mi ...hermano,NEU,1
Muy eficiente gracias  ,P,2
Si llego ,P,2
Se encuentra muy lejos,N,0
Perdone,NEU,1
Exelente  ,P,2
Gracias,P,2
Nunca llegó,N,0
 Puntualidad,NEU,1
Bueno ,P,2
si llego el taxi un excelente servicio ,P,2
Ya no estaba trabajando  ,NEU,1
Tiempo ,NEU,1
"Atento y cordial, Viaje agradable",P,2
Atento y cordial,P,2
Nunca llegó,N,0
Puntualidad,NEU,1
Viaje agradable,P,2
"Ya estaba en el taxi que aceptó y no se por qué, me mandaron otro mas. Supongo que error de la aplicación. Todo bien con el primer auto.",N,0
Canceló,N,0
nunca llegoooooo,N,0
Puntualidad,,1
No es serio en la carrera,N,0
está en otra dirección ,N,0
Está lejos,N,0
Muy gentil,P,2
Cancelada por Call Center.,N,0
"Atento y cordial, Puntualidad",P,2
No llevo 4 pasajeros,N,0
Trato al cliente,NEU,1
Atento y cordial,P,2
Reportó que no puede llegar,N,0
Dirección errada,N,0
Nunca llegó,N,0
Nunca llegó. Pésimo servicio .,N,0
1,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Canceló solicitud,N,0
Atento y cordial,P,2
Inconveniente personal,NEU,1
Nunca llegó,N,0
diligencias ,NEU,1
Canceló solicitud,N,0
........................,NEU,1
Cancelan la carrera y hacen perder bastante tiempo sean más serios y centrados si no van a poder,N,0
Mal servicio no quiso llevar amk hijo adelante estábamos 4 personas ,N,0
Viaje agradable,P,2
Nunca llegó,N,0
Cancelada por Call Center.,N,0
aaaaaaaaaaaaaaa,NEU,1
No llego Nunca llegó,N,0
Atento y cordial,P,2
ya deje deje ,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
"El señor reinicia taxímetro sin terminar la carrera y quiere cobrar 3$ cuando sale 2,34$ precio app",N,0
Muy bien recuerda que la puntualidad es el éxito  ,P,2
Nunca llegó,N,0
Atento y cordial,P,2
Cancelada por Call Center.,N,0
Atento y cordial,P,2
. Viaje agradable,P,2
ME CONFUNDÍ DE UNIDAD DE KTAXI ,NEU,1
Nunca llegó,N,0
"Me canceló, que poco profesional",N,0
Viaje agradable,P,2
Me amenazó e insulto  ,N,0
Ya no requiero el servicio,NEU,1
Mal servicio,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Atento y cordial,P,2
Puntualidad,NEU,1
Pésimo servicio,N,0
Atento y cordial,P,2
XdNunca llegó,N,0
Viaje agradable,P,2
Atento y cordial,P,2
no llegó el taxi y ya no pudimos llegar pronto ,N,0
Ok ,P,2
No llego,N,0
NelCanceló solicitud,N,0
Pésimo servicio Vehículo incorrecto,N,0
Puntualidad,NEU,1
Viaje agradable,P,2
super bueno el servicio,P,2
Canceló solicitud,N,0
Que cobre lo justo,N,0
Mala educación,N,0
Viaje agradable,P,2
"Puntualidad, Atento y cordial, Viaje agradable",P,2
Canceló solicitud,N,0
No pudo llegar,N,0
Puntualidad,NEU,1
Trato al cliente,NEU,1
Atento y cordial,P,2
No llego ,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
No llego,P,2
gracias no llego ,N,0
"Cancelo la carrera, después de tomarla.",N,0
Atento y cordial,P,2
Porque nunca llego ,N,0
Nunca llegó,N,0
Actitud desagradable,N,0
Ya llegó el taxi ,NEU,1
Viaje agradable,P,2
Puntualidad,NEU,1
"Atento y cordial, Puntualidad, Servicio de llamadas",P,2
"JAMÁS LLEGO Canceló solicitud, Nunca llegó",N,0
Viaje agradable,P,2
Ya m llegaron a ver,NEU,1
Viaje agradable,P,2
si si aajjajaj,NEU,1
coloqué mal el destino ,NEU,1
Trato al cliente,NEU,1
Mal gps,NEU,1
👍 ,P,2
Atento y cordial,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
No llego ,N,0
Wifi/carga de celulares,NEU,1
Mala Arencion,N,0
Atento y cordial,P,2
0,NEU,1
JurídicaCanceló solicitud,N,0
9,NEU,1
Actitud desagradable,N,0
Atento y cordial,P,2
por error de dirección ,NEU,1
Nunca llegó,N,0
Viaje agradable,P,2
Atento y cordial,P,2
Puntualidad,NEU,1
E ,NEU,1
No llego en su tiempo ,N,0
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Siempre cansela mal pesimo,N,0
Que pasó pana,NEU,1
Gracias ,P,2
Atento y cordial,P,2
Otro taxi,NEU,1
Hwhsksv,NEU,1
"Lo siento, ya no necesito la unidad ",NEU,1
Canceló solicitud,N,0
No necesuto,NEU,1
Servicio de llamadas,NEU,1
Nunca llego,N,0
Pesimo servicio  ,N,0
Pésimo servicio  ,N,0
Ya no deseo,NEU,1
Cancelada por Call Center.,N,0
Atento y cordial,P,2
Me equivoqué,NEU,1
Canceló solicitud,N,0
Mala atencion Actitud desagradable,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Atento y cordial,P,2
Me llegaron. A ver,NEU,1
Atento y cordial,P,2
Nunca llegó,N,0
Atento y cordial,P,2
"Atento y cordial, Puntualidad",P,2
Actitud desagradable,N,0
Nunca llego a la ubicación indicada,N,0
"Atento y cordial, Viaje agradable",P,2
Puntualidad,NEU,1
"Atento y cordial, Puntualidad",P,2
👍 ,P,2
Hakanans,NEU,1
Nada,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Servicio de llamadas,NEU,1
Viaje agradable,P,2
Viaje agradable,P,2
"Muy cordial el conductorAtento y cordial, Viaje agradable, Puntualidad",P,2
Atento y cordial,P,2
Canceló solicitud,N,0
Viaje agradable,P,2
Servicio de llamadas,NEU,1
Necesito q me envíe otra unidad,NEU,1
Necesito q me ayude con otra unidad,NEU,1
Urgencia,NEU,1
Atento y cordial,P,2
Puntualidad,NEU,1
No espero nisiquera 5 min Canceló solicitud,N,0
Actitud desagradable,N,0
Canceló solicitud,N,0
No deseo,N,0
Disculpe ya no necesito,NEU,1
Bueno ,P,2
Cancela la carrera,N,0
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Canceló solicitud,N,0
Otros,NEU,1
No pudo llegar,N,0
Disculpe no necesito,NEU,1
Buen servicio  ,P,2
No ,NEU,1
Mala,N,0
Cancelada por Call Center.,N,0
Necesito hacer otra,NEU,1
Vale verga,N,0
No llego,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Actitud desagradable,N,0
No llego Nunca llegó,N,0
ubicación errónea,N,0
No llegoNunca llegó,N,0
Nunca llegó,N,0
Bien,P,2
No cumple,N,0
tardo demasiado ,N,0
Que mal servicio,N,0
Mal servicio ,N,0
Has hace perder perder tiempo ,N,0
"El señor no nos quiso llevar Vehículo incorrecto, Actitud desagradable",N,0
Me vinieron a ver mil disculpas ,NEU,1
Nunca llegó,N,0
Puntualidad,NEU,1
Gracias ,P,2
Buena  atención,P,2
Canceló solicitud,N,0
"Muy buen conductor se le agradece Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares",P,2
Poca experiencia con el gpsQue se guíe mejor en el mapa,NEU,1
Tener cambio (sueltos),N,0
Ok,P,2
No llego Nunca llegó,N,0
Fueron dos minutos pero pasó más del tiempo establecido ,N,0
Atento y cordial,P,2
Viaje agradable,P,2
No necesito la unidad.,NEU,1
Bien ,P,2
Nunca llegó,N,0
Viaje agradable,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Bien ,P,2
Viaje agradable,P,2
La cancele porque en mi celular la direccion no era la correcta,NEU,1
"Atento y cordial, Puntualidad",P,2
No necesito,NEU,1
La aplicación dio mal la dirección,NEU,1
"Viaje agradable, Puntualidad",P,2
Mal servicio es la segundo vez q no llega,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Que mal,N,0
Canceló solicitud,N,0
Pesimo servicio.. Necesitaba el taxi de urgencia,N,0
Atento y cordial,P,2
Viaje agradable,P,2
Puntualidad,NEU,1
Puntualidad,NEU,1
Atento y cordial,P,2
no aparece la unidad en el mapa ,NEU,1
Viaje agradable,P,2
Nunca llegó,N,0
Cancelo,N,0
Gravias ,P,2
"Viaje agradable, Atento y cordial, Puntualidad",P,2
Puntualidad,NEU,1
Nunca llegó,N,0
Atento y cordial,P,2
No llegoNunca llegó,N,0
Pésimo servicio del conductor,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Buen servicio y precio justo...gracias seguro volveré a utilizar  ,P,2
Viaje agradable,P,2
mucho se demoró el conductor ,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
. ,NEU,1
hable bien,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Nunca llegó,N,0
Solicito cancelación,N,0
Puntualidad,NEU,1
......,NEU,1
Error del usuario,N,0
Atento y cordial,P,2
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Viaje agradable,P,2
Wifi/carga de celulares,NEU,1
Ya no necesito,NEU,1
la unidad no llegó ,N,0
Buena ,P,2
Mal ,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Viaje agradable,P,2
Estuvimos esperando ,NEU,1
No se mueve ,N,0
Excelente servicio ,P,2
Mal sercicio,N,0
Viaje agradable,P,2
pésimo servicio ,N,0
equivocado ,NEU,1
Cancelar solicitud,N,0
BienAtento y cordial,P,2
Ok ,P,2
no llego el taxi ,N,0
Gravias  ,P,2
Nunca llegó,N,0
Puntualidad,NEU,1
La unidos pidió suspender,N,0
Urgencia ,NEU,1
Atento y cordial,P,2
No encuentro la unidad,N,0
En espera,NEU,1
Excelente  ,P,2
Atento y cordial,P,2
Ya no deseo el servicio,NEU,1
Aun no estoy lista,NEU,1
no llego el vehículo ,N,0
"Viaje agradable, Puntualidad",P,2
Excelente  ,P,2
Canceló solicitud,N,0
No llega,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Pasaron por mi perdón,NEU,1
"Atento y cordial, Puntualidad",P,2
Atento y cordial,P,2
NoLlevó otro cliente,N,0
Nunca llegó,N,0
Puntualidad,NEU,1
Nunca llegó,N,0
Puntualidad,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Puntualidad,NEU,1
Viaje agradable,P,2
Mal servicio,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Ya no requiero el servicio ,NEU,1
Viaje agradable,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Pésimo se pone enojado y no da el cambio  ,N,0
Viaje agradable,P,2
Atento y cordial,P,2
Puntualidad,NEU,1
Gracias  ,P,2
Atento y cordial,P,2
Lo cancelo,N,0
Puntualidad,NEU,1
Gps no sirve,NEU,1
Canceló solicitud,N,0
Canceló solicitud,N,0
no llego la unidad ,N,0
Es un mal servicio Canceló solicitud,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Nunca llegó,N,0
Puntualidad,NEU,1
Que cobre lo justo,N,0
Atento y cordial,P,2
Nunca llegó Nunca llegó,N,0
Puntualidad,NEU,1
Otros,NEU,1
Atento y cordial,P,2
Nunca llegó,N,0
Puntualidad,NEU,1
Nunca llegó,N,0
No llegó ,N,0
Puntualidad,NEU,1
Puntualidad,NEU,1
Ok,P,2
Puntualidad,NEU,1
Puntualidad,NEU,1
No acepto necesito de urgencia,N,0
Atento y cordial,P,2
nada escoji otro ,NEU,1
No vino que mal servicio no es la primera vez,N,0
Puntualidad,NEU,1
Puntualidad,NEU,1
No vino,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Puntualidad,NEU,1
Necesito una mas rapido,N,0
Mucho tiemp,N,0
Did not come Canceló solicitud,N,0
No puedo sslir,NEU,1
Inconveniente,NEU,1
Atento y cordial,P,2
Excelente  ,P,2
Viaje agradable,P,2
Cancelada por Call Center.,N,0
Canceló solicitud,N,0
Viaje agradable,P,2
Puntualidad,NEU,1
No llegó,N,0
Ya no necesito,NEU,1
Viaje agradable,P,2
muy bueno  ,P,2
Viaje agradable,P,2
Cancelada por Call Center.,N,0
"Viaje agradable, Puntualidad, Atento y cordial",P,2
Gracias ,P,2
Tuve una emergencia médica,NEU,1
Viaje agradable,P,2
Atento y cordial,P,2
No saldre,NEU,1
Llevó otro cliente,N,0
Atento y cordial,P,2
Puntualidad,NEU,1
Jamás llegó,P,2
Viaje agradable,P,2
Pésimo servicio....no cobra lo justo y que cobran todas las unidades....Cobro inadecuado,N,0
Actitud desagradable,N,0
Atento y cordial,P,2
No llego Nunca llegó,N,0
Encotre otre unidad,NEU,1
Puntualidad,NEU,1
Mal direccion,N,0
Salida cancelada,NEU,1
Mal servicio.... cancela las carreras ... muy mal pero muy mal servicio,N,0
....,NEU,1
Nunca llego mal servicio 😡😡😡😡😡,N,0
Puntualidad,NEU,1
Cancelada por Call Center.,N,0
Mal manejo de la app por mi parte.,NEU,1
ok ,P,2
Tener cambio (sueltos),NEU,1
Muchas gracias!! ,P,2
Me hizo esperar de gana,N,0
Actitud desagradable,N,0
Ya no deseo la unidad,NEU,1
Me confundí,NEU,1
no llego al destino ,N,0
Nunca llegó,N,0
Nunca llegó,N,0
J Jjjj,NEU,1
Excelente sin problemas llegó puntual ,P,2
Jxjsbd,NEU,1
"no llegóAtento y cordial, Viaje agradable, Puntualidad",NEU,1
Viaje agradable,P,2
Atento y cordial,P,2
Cancelada por Call Center.,N,0
Atento y cordial,P,2
Carisimo a 5 cuadras 20 bs...,NEU,1
Nunca llegó,N,0
Que cobre lo justo,N,0
Ya no necesito gracias,NEU,1
Cancelada por Call Center.,N,0
buen servicio ,P,2
Canceló solicitud,N,0
Cancelada por Call Center.,N,0
Muy paciente y espero mucho tiempo.,N,0
Ya llegaron a recogerlos,NEU,1
.l.,NEU,1
Atento y cordial,P,2
Viaje agradable,P,2
Una persona amo educada terrible esa clase de gente hasta hoy utilice esta aplicación porque no tienen gente con educación Actitud desagradable,N,0
Canceló solicitud,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Gracias,P,2
Annans ,NEU,1
Puntualidad,NEU,1
"Canceló solicitud, Nunca llegó",N,0
Atento y cordial,P,2
... ,NEU,1
Nunca llegoLlevó otro cliente,N,0
Actitud desagradable,N,0
Nakalahsbmakaanba,NEU,1
si llegó a tiempo ,P,2
Gracias  ,P,2
Ok ,P,2
Buena la atencion  ,P,2
Pésimo servicio de esta unidad  ,N,0
Canceló solicitud,N,0
Actitud desagradable,N,0
Excelente Puntualidad,P,2
Atento y cordial,P,2
KoolPuntualidad,NEU,1
Gracias ,P,2
Nunca llegó,N,0
Pésimo conductor no quiero que me atienda nuevamente es irresponsable,N,0
Mucho tiempo  ,N,0
19,NEU,1
No llegó ,N,0
Atento y cordial,P,2
"Atento y cordial, Puntualidad, Viaje agradable",P,2
Pésimo mal servicio  ,N,0
Viaje agradable,P,2
Nunca lleho ,N,0
No llegóNunca llegó,N,0
Velocidad excesiva,N,0
🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,N,0
"Atento y cordial, Puntualidad",P,2
Puntualidad,NEU,1
Canceló solicitud,N,0
no me espero,N,0
Atento y cordial,P,2
Ya culminó la carrera,NEU,1
no quiso retroceder una cuadra para recogerme estoy con un paciente ,N,0
Puntualidad,NEU,1
Nunca llegó,N,0
Dentro de los 3 min no llego Nunca llegó,N,0
Cobró más de lo que era La ruta Cobro inadecuado,N,0
Puntualidad,NEU,1
