comentario,valor,equivalente
Recorrido Calderón carcelen cumbaya Quito ,N,0
Algo paso con sistema,NEU,1
transacción exitosa,P,2
No espera,N,0
Excelente gracias ,P,2
Excelente,P,2
Me encuentro en el lugar el cliente no sale mal usuario,N,0
Gracias ,P,2
4f     cvczdvcgg ffbh,NEU,1
Muy mala conducta ,N,0
Cliente pone mal la direccion y se le llana y no contesta,N,0
Gracias Gracias ,P,2
En la app salio 2 minutos cosa q no iva ah llegar en ese tiempo,NEU,1
El cliente no espero,N,0
No da bien la dirección,N,0
Hay Problemas Con Mi Señal ,N,0
No contesta la llamada ni mensajes,N,0
Muy bien,P,2
Todo bien ,P,2
A lo q llego cancela,N,0
Me escribe para cancelar ,N,0
Cancela,N,0
Congestionados ,NEU,1
El cliente toma otra unidad no espero,N,0
Cliente amable,P,2
Estoy cerca de llegar y me cancela,N,0
En el coral pero el guardi no deja espera dise qya  sale pero nada,NEU,1
No Espero el tiempo dado ,N,0
El cliente al ver que ya llegue me termina la carrera y no salio y me apago el telefono por eso me retiré del lugar muy mal cliente ,N,0
No ahi nadie aji,N,0
Carrera exitosa ,P,2
falsa solicitud ,N,0
Fhjgxcvghg   ,NEU,1
Ma o menos,NEU,1
Gracias por preferirnos ,P,2
Mal Puesto El Puntero No Resp El Cliente ,N,0
Se me aberio el vehiculo y el cliente no pone bien la direccion de la ubicacion donde se encuentra ,NEU,1
Cliente cancela,N,0
Se Perdió La Ubicación ,N,0
Ya estando en el lugar,NEU,1
 cliente se solicita y luego cancela,N,0
Canceló,N,0
El Cliente Me Pone Abordó Y No Contesta Llamadas ,N,0
Cancelo  la solicitud ,N,0
Esta bien,P,2
T,NEU,1
Cancela la solicitud,N,0
Me disculpa AMIGO ,NEU,1
Disculpe que no,NEU,1
Completamente ,NEU,1
Excelente ,P,2
Problemas Mecanucos,NEU,1
El cliente se ha ido,N,0
cliente abordó otra unidad ,N,0
Rines de coche otro taxi porque según el mapa estaba por la quitó y llegando a la sucre nunca bajó ahí a la esquina yo estaba esperando en la esquina,NEU,1
Cliente sin cascarilla,NEU,1
Excelente ,P,2
Pppp,NEU,1
Nov salio puso q esta abordo pero no salio,N,0
Llanta en malas condiciones,NEU,1
Ya se a retirado el cliente seme colgo la aplicacion y no pude ubicarle bien al cliente Mil disculpas por favor,N,0
Cómo estás equivocado cliente tomó un taxi equivocado,N,0
 Mucho Trafico,NEU,1
Esta bien,P,2
U,NEU,1
Tráfico vehicular,NEU,1
Pésimo en qué tráfico ,NEU,1
No aparece el cliente,N,0
La clienta manda una encomienda pero la señora donde tenía q dejar el paquete no quiere pagar lo q vale la carrera ,N,0
"No cancela a tiempo, hace ir en vano, perdida de tiempo y combustible ",N,0
Tttttyyu8iiiopppp,NEU,1
Mal cliente,N,0
Gracias ,P,2
El cliente no está no contesta las llamadas ,N,0
Uvicacion mal,N,0
Buen Cliente ,P,2
Uuuuiili88ii9lll,NEU,1
Cliente satisfecho ,P,2
cancela la solicitud al llegar la unidad,N,0
SE VA EN OTRO TAXI NO ESPERA ,N,0
No cumplió con ka Unidad,NEU,1
Vliente no esta ,N,0
Cliente no se encuentra en el lugar indicado ,N,0
Pide y despues cansela,N,0
Me hace dar la vuelta por el trafico y me cancela me hace ir envano bueno me retiro mal cliente,N,0
Sin problemas Yo estaba muy lejos,NEU,1
Cancela la solicitud,N,0
"Dsnm,ncl dk Cm",NEU,1
Piden en lugares dificiles de ingresar,N,0
El cliente no se fue,N,0
Gracias por preferirnos. Somos Ktaxi,P,2
Cliente Indica Que No pidió la unidad. ,N,0
Él cliente no sale,N,0
Lo siento salí dando tiempo desde la mutualista 2 y el señor ha estado en otro lado q se me hacia muy lejos llegar a tiempo lo siento disculpe ,NEU,1
No Alcance La Bicicleta ,NEU,1
Se a ido no sero,N,0
El cliente quiere q entre donde el camino es malísimo ,N,0
Sistema operativo colapso,NEU,1
Cliente no sale ,N,0
Cliente No Contesta Mala Dirección ,N,0
Amable,P,2
Cliente no pago lo ki salió en la tarifa de la aplicacion,N,0
Noticias pagar lo que indica el taxímetro,N,0
Llama por molestar,N,0
Cliente hace esperar y cancela,N,0
Mal La Dirección ,N,0
Excelente ,P,2
Me cancelo la carrera ,N,0
el cliente marco mal la dirección,N,0
Excelente,P,2
Cancela la unidad en el lugar ,N,0
Yu,NEU,1
Excelente,P,2
Gjmnnmhbmgjmmn,NEU,1
Y,NEU,1
El cliente esta en otra ubicación,N,0
Todo bien ,P,2
Gracias por preferirnos solos Ktaxi ,P,2
M9 dali9 9y9nt,NEU,1
Impaciente. Se Fue En Otra Unidad ,N,0
No Desea La Unidad ,N,0
Mal el gps,N,0
Mal Cliente pide Carro Y Anda Jugando,N,0
Días 4 y 5 con 30 minutos de espera ,NEU,1
Le pregunté x donde le llevo y responde de manera grosera,N,0
Hhkjfkjgngdjkjjvxjlvzklm,NEU,1
GPS mal ubicado va a pedir de nuevo,N,0
Espero q llegara para cancelar muy mal cliente ,N,0
bien ,P,2
Buen cliente,P,2
Kfjhdsgjhfzxc,NEU,1
Estoy con el pasajero,P,2
El cliente canceló la solicitud,N,0
El cliente  no sale,N,0
bien ,P,2
Pesimo,N,0
Servicio culminado,P,2
El Cliente No A Esperado Seaido En Otra Unidad ,N,0
Cliente Cancela solicitud ojo con el cliente por favor,N,0
El cliente no salio.  Llegue al tiempo justo en el lugar.....,N,0
Pesimo ,N,0
El cliente se ha ido,N,0
Cancelo,N,0
Excelente gracias ,P,2
Pide de vurla se lo llama y no contesta  mal cliente ,N,0
Grosero La Información que ,N,0
Viaje con exito,P,2
Se a ido en otra unidad ,N,0
Cliente No Sale No Contesta,N,0
No Espero Se Fue,N,0
Ghiiggulnvhvvhh,NEU,1
Excelemte,P,2
Excelente gracias ,P,2
Si estoy con el cliente,P,2
No prende el botón de abordo,N,0
No es serio,N,0
Cliente da una ruta  y despues indica x que le traigo por ese lugar,N,0
El cliente no contesta su celular ni responde mensajes no hay como servir asi de esa manera,N,0
Neumatico dañado,NEU,1
Lo Tomé Por Error,NEU,1
Cliente No Sale Mal Educado ,N,0
Me perdi disculpe  no voy a llegar ,NEU,1
La señora me viene estar alzando la voz la acompañante del cliente ,N,0
Demasiado Tráfico En La Cuidad El Cliente Dice Que Esta De apuró Y No Va Espere ,NEU,1
Cliente Con Apuro,NEU,1
Está pidiendo mal la ubicación,N,0
Mal Cliente ,N,0
Si realice la solicitud pero ,NEU,1
Tomo otra unidad,N,0
Hhhhjjjjkjju,NEU,1
Bueno,P,2
exelente,P,2
Mal cliente,N,0
Se burla,N,0
Cliente conforme cn el servicio,P,2
Esta a bordo ,P,2
Cliente cancela solicitud ,N,0
Por  gusto  me  asepta los  mitos  para  cancelar ,N,0
Daños Mecánicos Disculp,NEU,1
No paga lo q sale en la aplicacion,N,0
Esta mal la dirección del cliente por favor verifique ,N,0
Dice Que No A Pedido ,N,0
Se presiono disculpe,NEU,1
Problemas de la aplicacion...,NEU,1
............,NEU,1
Mal la derecion,N,0
solicita y cancela ,N,0
Mal Cliente Estado Embriaguez ,N,0
"Acepto a dos unidades,,, yo me retire",N,0
Pone mal dirección ,N,0
Pésimo cliente mala actitud se enoja x q ha querido q le lleve x otro lado me di la vuelta pero pésima actitud tampoco pueden tratar a los chóferes así ,N,0
Se fue en otro taxi,N,0
Ni llegó ya me cancela,N,0
Bien,P,2
Estoy en el punto,NEU,1
Cliente solicita la unidad para el día de mañana ,NEU,1
"El Cliente No Tiene Paciencia, Abandono El Lugar Que Solicito Ktaxi ",N,0
Cancelo ,N,0
Con Laboral Activo ,NEU,1
Mucho trafico ,NEU,1
Pésimo cliente me comentó el móvil y me dice q ya no quiere la unidad ,N,0
Exelente ,P,2
El kliente se fue en otra unidad ,N,0
No confirma ni msj ni fono,N,0
Para q pide si va a cancelar no haga perder el tiempo,N,0
Cancelo estando fuera ,N,0
"Realizo La Llamada Al Cliente Se Cruza Con El Número De Móvil De Otra Persona, El Botón Q I Dica Cliente A Bordo Bloqueado, Pero Si Recojo Al Cliente ",N,0
Se Ha Ido El Cliente,N,0
No deseo realizar mas la carrrra x motivo q quiren llevar dando la buelta dejando otra carrera pero quieren el mismo taximetro y yo en personal no soy recorrido gracias x su comprecion,N,0
Ya estando en el punto cancelo ,N,0
Cliente se va en otro taxi ,N,0
Pide taxi y nunca sale y hace perder el tiempo,N,0
Cliente no contesta y pone abordo ,N,0
Todo bien ,P,2
Malo,N,0
Cliente  a bordo ,P,2
Gndjdkkddkdkskeku,NEU,1
Excelemre,P,2
Cliente no salió del destino,N,0
Dice Que Esta A Bordo ,NEU,1
Pago 5 bs,NEU,1
Carrera finalizada con exito,P,2
Mal cliente juega con la app,N,0
Mal vliente,N,0
Cliente problematico demasiado problema por que le cae 0.20ctvs mas de lo que paga se le explica que se demoro cargando unas cosas de el mismo señor pero lloro asta decir basta,N,0
Muy amable ,P,2
Si lo lleve al cliente,P,2
Cliente m cancela 3.25  l taxímetro marcó 3 m cancelo 3.25 xq dice q le espere q ya sale a cancelar q tiene l dinero n su ksa,NEU,1
Esta jugando,N,0
Cliente estaba en otra dirección ,N,0
No sale,N,0
El cliente no canceló lo correspondiente,N,0
Pide 2 taxis.... y se ca en el primero,N,0
Clien cancela,N,0
canceló ,N,0
Cliente da mal la direccion me dice q suba a donde esta ya llegando cancela la solicitud me ase subir dejado carreras en el camino q falta de seriedad,N,0
No funciona el boton,NEU,1
............. ,NEU,1
No Espera La Unidad,N,0
Buen cliente,P,2
Excelente dia ,P,2
Cliente no se pone de acuerdo no sale,N,0
Llegando cancela ,N,0
Buen cliente ,P,2
cancela la solicitud ,N,0
Pesimo cliente estube cerca,N,0
no espera......,N,0
Termina carrera antes del tiempo,N,0
cancela la solicitud cuando ya estaba en la ubicación ,N,0
Sin Novedades ,P,2
Estaba a un ciclo,N,0
Buenos dias x favor se me bajo la llanta disculpas gracias,NEU,1
Esta bien,P,2
Via obstaculizada,NEU,1
Dificultad en girar a la derecha,NEU,1
Cliente conforme cn el servicio,P,2
Excelente gracias ,P,2
Siempre pasa,NEU,1
No esta el clientr,N,0
Cliente Aborda en otro taxi y cancela,N,0
Ecelente dia GRACIAS,P,2
La señora Se equivoco en la calificación ,NEU,1
Bien,P,2
Pide y no espera ,N,0
 No salee el clientee,N,0
Cancelo solicitud,N,0
El Cancelo La Carrera ,N,0
No  salio el cliente,N,0
El cliente canselo la carrera y no contesta el moví,N,0
Señora  mal hablada ,N,0
 solicitud atendidas Sin novedad,P,2
Mocha gracias ,P,2
Todo bien ,P,2
Cliente no contesta  Mensaje esperada  5 minutos ,N,0
Excelente ,P,2
Cliente Cancela La Solicitud cuando la unidad ya esta en el punto (utilizar responsablemente la aplicación) ,N,0
Carrera exitosa ,P,2
Se Fue En Otra Unidad ,N,0
Cliente a borda otra unidad llamo y no contesta ,N,0
Esta mal la ubicasion,N,0
El Cliente No Sale,N,0
se fue en otra unidad ,N,0
Cliente se equivoco de taxi,N,0
Cliente excelente,P,2
El cliente no espera los tres minutos,N,0
El cliente no sale de su domicilio,N,0
Excelente ,P,2
Cancela al llegar,N,0
Muy mareado y malcriado y dice que es taxista de la 64,N,0
Pesimo,N,0
Gracias bendiciones ,P,2
R,NEU,1
Pide y se va en otra unidad,N,0
Se fue el cliente,N,0
Que ya cojio otro taxi me iso venir en bano ..,N,0
Llegué al lugar no salió ni contestó el mensaje el número de teléfono está incorrecto,N,0
Pide y la cancela ,N,0
Carrera exitosa ,P,2
Cliente cancela la solicitud ya cuando la unidad está por llegar y dentro del tiempo,N,0
Cliente Puso Mal La Indicación Del Lugar,N,0
Cliente  ha  ido llamo y no respondió ,N,0
Excelente,P,2
Cancela la carrera estando en el punto ,N,0
Pesimo ya estaba llegando,N,0
El cliente no desea la nulidad ,N,0
Cliente mi quiere la unidad ,N,0
64 ,NEU,1
excelente cliente ,P,2
Lo cancela cuando ya estoy llegando a la ubicación muy mal,N,0
Mala informacion del cliente no es correcto el nombre de las calles ,N,0
Indica Que Ya Esta En La Unidad Y Yo Ni Siquiera Llegó ,N,0
El cliente no respondió ,N,0
Nunca  salio,N,0
No está el cliente,N,0
No acepta ,N,0
Noooooooo esta ,N,0
Yyyuuiklloll,NEU,1
El cliente hace perder tienpo debe ser bloqueado ,N,0
El cliente no salió nunca  Le llamé y me colgó que pésimo cliente,N,0
El Cliente Ubica Mal La Posición ,N,0
Esta mal la aplicacion ,NEU,1
excelente ,P,2
No Espero El Tiempo Y Rechaza 😠,N,0
Ya staba en su puerta a tiempo  y cancel9,N,0
No acepto irse ,N,0
Todo bien ,P,2
Mala Ubicación ,N,0
El vehiculo se me daño,NEU,1
Mucho trafico,NEU,1
Nncg bxjf ncjgg,NEU,1
No ha puesto bien la direccion ,N,0
Mucho Trafico,NEU,1
El cliente no sale me retiro ,N,0
Marco mal la ubicacion ,N,0
cliente no salió ,N,0
Todo bien ,P,2
Problema  mecanismos ,N,0
C le cobro 3.50 xq c iso dos carreras del lugar a la santa rosa y 11norte y vela y despues al mercado mayorista,NEU,1
Estoy esperando,NEU,1
El pasajero cancela la solicitud cuando ya se está en el lugar,N,0
Cliente no contesta las llamadas,N,0
Cliente No Sale,N,0
"Gracias, propina ",P,2
Firuryfhgugjgjfjfjdhdhsjdkt,NEU,1
U,NEU,1
No aparecio el cliente,N,0
Muy bien ,P,2
Mala actitud,N,0
Cliente canselo,N,0
Cliente no responde ,N,0
Prsimo,N,0
Cancelo la carrera,N,0
No se le ubica en el lugar,N,0
Error de ubicacion y el marcador de cliente abordo no se activo,N,0
Todo bien ,P,2
No pida,N,0
Canceloya esperando fuera,N,0
Cancelo la solicitud,N,0
Medio camino cancelo,N,0
Muy generoso,P,2
Vienen como ejercito,NEU,1
Problemas mecanicos,NEU,1
Cliente se va en otro taxi,N,0
Exelente ,P,2
No hay seriedad por parte del cliente saciones sanciones,N,0
Esta mal direccion,N,0
Cliente se va en otra unidad,N,0
Cliente no sale se ,N,0
El cliente está en otra dirección,N,0
Se va en otro taxi no verifican,N,0
Pone mal la dirección,N,0
Muy Lejos Pide La Unidad,NEU,1
No se encuentra en la ubicación y no contesta ,N,0
Nunca salió en cliente le esperé  pero al final nadie salió me retiro,N,0
Bien,P,2
No Espero ,N,0
Todo llamar al cliente poratar sin luces y los vigilantes están multando,NEU,1
Se va en otro taxi apenas llego pide la unidad degana,N,0
Cliente cancelo la solicitud se mando un mensaje y no respondió ,N,0
Cliente Cancela La Carrera ,N,0
Necesitaba que le compre mariguana.. Y le dije que no.. Y cancelo la solicitud ,N,0
Bien,P,2
Cliente se ha ido ,N,0
Esperando 5 minutos y candela ya demás,N,0
Llama y cancela la carrera,N,0
Clihte cancela la carrera,N,0
Excelente cliente ,P,2
20 encargo,NEU,1
Oya muy lejos cliente no espera,N,0
Mal,N,0
Cancelo,N,0
Ya termine la carrera,P,2
Pide la unidad y no la ocupa. Pésimo cliente,N,0
No parese,N,0
Cancela La Solicitud ,N,0
No hay el cliente pide y no se encuentra en el lugar,N,0
Pide cigarrillo y no responde ,N,0
Mil disculpas no a sido el cliente me equivoque de cliente ,NEU,1
Se llega al lugar el cliente no sale me retiro del lugar,N,0
No espera la unidad,N,0
Favor no jugar con la app,N,0
No le encuentro ,N,0
Se bloqueo la puerta ,N,0
Clientes a bordo ,N,0
Excelente gracias ,P,2
No salió,N,0
Cliente se va en otro tsxi,N,0
Él cliente se fue en otra unidad,N,0
Da propina ,P,2
Mal dirección estoy al otro lado de la cuidad,N,0
Muy amable,P,2
El cliente  no espera  ,N,0
Cliente No Espera ,N,0
Se subio en otra unidad ,N,0
5 clientes,N,0
excelente ,P,2
El cliente no envia direccion correcta para poder recogerla ,N,0
Pesima cliente no da las direcciones correctas mejorar el uso d la aplicacion al pedir unidades,N,0
El cliente se a ido en otra unidad,N,0
Cancelo la solicitud,N,0
Cliebte cortó comunicacion,N,0
El cliente pide taxi oero luego pone que esta a bordo  cuando no lo esta,N,0
Pide taxi y cancela este tipo de clientes no deberian utilizar la aplicacuón del  azutaxi ,N,0
Bien,P,2
Mal el GPS del cliente ,N,0
Mal ,N,0
No edtaba activado el boton,N,0
Amable ,P,2
Disculpe se me bajo el neomatico gracias,NEU,1
Todo bien ,P,2
No paga el valor q sale,N,0
Me retiro no responde el cliente,N,0
Paga 2.50 dijo el cliente,NEU,1
Xar era cobcluuda,NEU,1
El cliente canselo la carrera ya estando en el lugar,N,0
esta mal la ubicación ,N,0
Mala ubicación no se encuentran,N,0
Se fue la señal ,N,0
No Hay Cliente Dice Q Que Ya Sale Y No Sale Nada Me Retiro Ni Contesta El Mensaje Ni La Llamada Pésimo Cliente Q No Conteste ,N,0
Exelente ,P,2
Siempre ase eso cuando llego al lugar solicitado,NEU,1
El cliente no espero ,N,0
El Cliente No Espera Se Va En Otro Taxi ,N,0
Bien,P,2
Pide dos veces azutaxi y cancela,N,0
Carrera exitosa ,P,2
No espera en tiempo que se le dio y se retira en otra unidad,N,0
El cliente cancela la carrera xk ha pedido x error,N,0
Cliente no espera el tiempo para alcanzarle,N,0
Cliente ponel mal su ubicacion y mal genio,N,0
Cancela la solicitud,N,0
E,NEU,1
Me cancelo,N,0
Cliente amable,P,2
Deje en su destino,P,2
Hacen perder el tiempo envano,N,0
Me candela la carrera ,N,0
👍 ,P,2
Mal la direccion,N,0
Placa abj 3678,NEU,1
La carrera q realize era de la Félix aranibar destino Libertador Bolívar Adela zamudio y tarifo 26bs.el cliente se molesto mucho y le cobre 8 bs. ,N,0
Se vuelve a equivocar a pesar de que le digo como hacer ,N,0
Ex ,NEU,1
Problema mecanico,NEU,1
El cliente no salio,N,0
Muy amable,P,2
Fallo mi viaje se borró la información,NEU,1
Muchas  perzonas ,NEU,1
Excelente gracias ,P,2
Disculpe se me bajo la llanta ,NEU,1
 El cliente se ha ido en otro dk taxi indicando que se ha subido a uno que ha pedido él,N,0
Gps indica otro lado me retiro,N,0
No contestan los mensajes y numero sale apagado,N,0
6,NEU,1
Mil disculpas xfavor mucho trafico ,NEU,1
Muy distante y mucho tráfico ,NEU,1
10 1 el cliente estoy aaplicano y cancela la carrera,N,0
El cliente mando mensages para cancelar,NEU,1
Mi celulae se preciono ,NEU,1
Excelente servicio,P,2
Desean ir adelante,NEU,1
Todo bien ,P,2
No Contesta El Telefono,N,0
No me Prende El Vehículo ,NEU,1
Cliente coloca el gps y direcion ijual y al llamarlo me dice que esta en otro lado y ya no quizo la unidad,N,0
Cliente Pide Dos Veces Estoy Mas De Cinco Minutos En El Lugar Llega Otro Taxi Lereclamo Y Se Va Más Bravo,N,0
Cliente canceló ,N,0
Pesimo cliente finalizo al llegar a su casa y no responde,N,0
No paga lo justo ,N,0
Mucho equipaje,N,0
4 personas ,NEU,1
Llegando al lugar cancela dando 6 minutos ,N,0
Se Fue En Otro Taxi ,N,0
Pide e gana,N,0
Esta Mal La ubicación ,N,0
Bien,P,2
Me disgtrrtyyy,NEU,1
Persona grocera queria abordar adelante y exeso de pasajeros,N,0
Solicitud atendidas y navegar,P,2
Yhhjklklkkku,NEU,1
Botón no activo ,NEU,1
Botón no activa de abordar,NEU,1
Ya estoy afuera ,NEU,1
Cliente finaliza la carrera sin salir,N,0
No espera,N,0
Dgttgghhhjjjjj,NEU,1
Al sr se le realiza dos carreras y no quiere pagar  Total 295 Paga 250 y sale  grosero,N,0
Sin comentarios,NEU,1
De q sirve q comentemos si no hacen nada,N,0
No Salió El Cliente ,N,0
Congestion vehicular,NEU,1
El cliente se ha ido,N,0
Hace perder el tiempo,N,0
Se va en otro taxi y me deja esperando ,N,0
No Me Contesta La Llamada Para Mayor Ubicación Más Hace Perder Tiempo,N,0
Falla mecani a mil disculpas ,NEU,1
Carrera concluids,P,2
El cliente no. Dadirecciom,N,0
Cliente cancela cuando ya estoy en el lugar ,N,0
Se Bajó Un Neumático,NEU,1
Gracias bendiciones ,P,2
Excelente ,P,2
Neumático ponchado,NEU,1
Mil disculpas xfavor mucho ,NEU,1
"Si, Se Cumplió De La Parada. ",P,2
Mal dada la ubicacion ,N,0
Buen cliente,P,2
Hacen falsa llamada,N,0
No sale y cancela,N,0
Muy amanle,P,2
Boton gos en otro lugar no coincide,N,0
............. ,NEU,1
Me retiro cliente esta con una mascota grande y no piden en la aplicación con mascota lo siento ,N,0
Buen Cliente ,P,2
El cliente no salio del edificio espere,N,0
nunca salió ,N,0
Cliente no espera el tiempo que se le dió ,N,0
El cliente no espera ,N,0
Pone Mal La Dirécion ,N,0
Cinco pasajeros adultos,N,0
El Cliente No Aborda La Unidad ,N,0
Muy amable ,P,2
hola ,NEU,1
El Cliente Se Fue ,N,0
Carrera exitosa ,P,2
Xn si kljlzgzkz,N,0
No sale he informa que se ha ido en otra unidad ,N,0
Se va en otra en unidad ,N,0
Cliente no sabe donde esta ,N,0
No Contesta El Teléfono ,N,0
Problema Mecánico ,NEU,1
Gjkfdfgjjhgghj ,NEU,1
No espera  es emvano,N,0
Esta en otra direcion,N,0
El cliente no desea la unidad,N,0
Solicito y luego Cansela ,N,0
Gracias por preferirnos ,P,2
Pide y cancela cuando uno llega al lugar ,N,0
Tráfico pesado,NEU,1
Pesimos,N,0
Pide a dos radios y se va en otro taxi,N,0
Ya llegando ala dirección indicada un poco de más seriedad por favor al pedir su unidad,N,0
En una pérdida de tiempo este,N,0
Mucho control policial  No tenía suficiente siento para la carrera el usuario,NEU,1
Me cancelaron,N,0
Mil disculpas me olvide un tramo de poner el taxímetro y resulta que el cliente me pago lo que marcó desde que puse el taxímetro y se enojó un poco y no me reconoció el buen tramo y no fue por vivesa sino que me olvide por lo que dijo que vaya rápido,NEU,1
Buenas noches estas personas que piden unidad Y no y cancelas cuando uno ya se llega el domicial punto Exacto vale que se llama la atención y sean multados y tú no se deja cliente en la calle por colaborar con la aplicación y ya cancela,N,0
Gracias por preferirnos somos Ktaxi ,P,2
Buen cliente,P,2
No Desea La Unidad El Cliente No Contesta El Teléfono No Sale No Contesta Sms Ni Llamadas Pésimo Hace Perder El Tiempo ,N,0
Mal cliente cancela,N,0
4,NEU,1
Cliente quiere comida,NEU,1
El Cliente Está Discutiendo Con La Familia Y No Salio,N,0
Señores estsn muy tomaditos  mil disculpas ,N,0
Cliente no selecciona la forma de pago correcta y al finalizar la carrera desea pagarme con transferencia y no dispongo de ese servicio a parte de eso heran 5 personas,N,0
bien ,P,2
Esta mal dereccio ,N,0
El cliente me dice que le edpere y nunca salio ni contesta el celular,N,0
Me da mal la dirección el gps por favor revisar ,N,0
Cliente no desea la unidad están mare,N,0
Por favor verificar que las gavetas de pollo no vengan con agua ya que se derama todo en la cajuela ,NEU,1
Se canceló la carrera,N,0
Muy buen cliente ,P,2
Se fue con su papa,N,0
No salió usuario no respondió alerta d llegada,N,0
Ok,P,2
Llanta.vaja.,NEU,1
Cliente No Pone Bien La Dirección ,N,0
Me cerró la carrera,N,0
Excelente ,P,2
Llegando al lugar el cliente cancela la solicitud,N,0
Esta bien,P,2
El cliente cancela la solicitud ya estando en la dirección indicada ,N,0
No se presentó ,N,0
Me hace llegar al lugar y cancela la carrera,N,0
Buena ,P,2
problemas mecánicos,NEU,1
Cliente se  sube  lue.go de dos cuadras se baja no cancela porque no tiene plata y mas bravo,N,0
No sale el cliente,N,0
Cancela la solicitud ,N,0
Jjjjjjjjjjjjjj,NEU,1
Viaje excelente y generosa,P,2
Pesimo cancelo,N,0
Cliente pide taxi y quieren subirse 4 pasajeros ,N,0
Cliente muy grosero no indica bien la dirección se molesta por que pregunto en donde le dejo patán ,N,0
Muy amable y gentil exitos en su dia,P,2
Nobingresa un tv ,N,0
Pesimo,N,0
Buen cliente ,P,2
Cliente no sale le llamo y no contesta ,N,0
Clientes pesimos,N,0
Excelente cliente ,P,2
Se suben 4 pasajeros y ensima el señor muy despota...,N,0
No Espera Y Se Le Llama Y Apaga El Teléfono ,N,0
Esta realizada la carrera ,P,2
👍 ,P,2
Buen cliente ,P,2
Mal usuario nunca salió ... ,N,0
Pesimo cliente Me cancelo llegando al lugar,N,0
El cliente necesita encomienda no usa bien la aplicación,N,0
Todo bien ,P,2
Fin de la carrera,P,2
Bien,P,2
El cliente cancelo la carrera ,N,0
Buen Cliente ,P,2
Buen Cliente ,P,2
No espara el cliente ,N,0
Excelente cliente,P,2
No Es Serio Xxxxx ,N,0
Está muy lejos,N,0
Muy distante ,N,0
Más me hace perder el tiempo,N,0
Carrera exsitosa,P,2
Llevo otra vez mismo,NEU,1
El pasajero hace perder el tiempo y no sale de su domicilio,N,0
Exceso de clientes.... actitud desagradable ,N,0
Cliente se a ido,N,0
El cliente canceló la soloviyud,N,0
"Dirigiéndome a recoger al cliente, cancela la carrera.",N,0
"El Cliente Está En Balzan, Y La Hubicacion Bota En El Iees",NEU,1
Vsbsbbshshdhd,NEU,1
El cliente no bueno ,N,0
Full Tráfico ,NEU,1
Pésimo ,N,0
Lo Siento Pida Otra Unidad Estoy Muy Lejos,NEU,1
Ya llegue y Candela,N,0
5 personas,N,0
Nunca salió! ,N,0
Jjjjuhjuvyc6cuv7v,NEU,1
Traficoooooooo,NEU,1
Cliente Cancela taxi estando afuera ojo,N,0
Me equivoque,NEU,1
Pesimo no espera x me cancela tando llegando,N,0
Cliente no sale no responde las llamadas segunda ces que me ase lo mismo ,N,0
Cliente a bordo,P,2
Ckflfkfkfofif,NEU,1
Mil Disculpas ,NEU,1
El cliente muy prepotente ,N,0
No sé si soy si es mi celular o no sé pero la ubicación me da un poco mal pero le estoy preguntando al señor y y pone cliente a bordo y se va la carrera,N,0
Cliente no sale,N,0
Se me bajo la llanta ,NEU,1
Demasiadas Personas Para La Hora De Restricción ,N,0
esta mal la direcsion ,N,0
Demasiadas Personas Para La Hora De Restricción ,N,0
El señor no contesto el teléfono para preguntarle no pude,N,0
Cliente en estado etílico. No le puedo servir,N,0
No se decide si quiere o no el taxi,N,0
Cliente no sale,N,0
Cliente juega con la app me hace esperar y se ve en otro taxi,N,0
Malo ,N,0
Excelente cliente ,P,2
Qdc Ciudad Verde ,NEU,1
Muy buen pasajero,P,2
Si termine el viaje peromlamaplicacion se traba ,NEU,1
El cliente canceló ,N,0
Dhjfjtkfitigkgl,NEU,1
No prende  la unidad,NEU,1
No sale el cliente q no aga subir degana,N,0
Carrera finalizada con exito,P,2
El cliente se a ido,N,0
Apurado no espera el tiempo y no contesta el celular ojo,N,0
Excelente clienta,P,2
Aya cancelo la carrera,N,0
Todo bien ,P,2
Se demora mucho,N,0
Uggvyx6zfycyfyfyfyffug,NEU,1
👍 ,P,2
Cliente se ha equivocado de lugar de solicitar la unidad,N,0
Da mal la dirección ,N,0
cancela la carrera,N,0
 Está mal la direccion,N,0
Si espera ,NEU,1
dirección y ubicación incorrecta ,N,0
Buen Cliente ,P,2
Jjjbbvvbnnmnnbb,NEU,1
Nunca salió ni llegó no contesta los mensajes ,N,0
No sale el pasajero,N,0
Excelente,P,2
Exelente ,P,2
Cliente desagradable ,N,0
Pinchazo de rueda,NEU,1
Cliente pide y cancela llegando a la dirección,N,0
Cliente incumplido ,N,0
Muy amable,P,2
El Cliente Me Pone Que Esta A Bordo Y Que La Carrera A Sido Completada Pero El Cliente No Aparece,N,0
Via pbstaculizaza,NEU,1
Que ya no quiere,N,0
Excelente,P,2
No verifica la unidad y se va en otra. ,N,0
Cliente aborda otra unidad,N,0
Demora en salir ,N,0
Y a comprado,NEU,1
Mucho trafico por esa zona,NEU,1
Exelente ,P,2
Ya ,NEU,1
Cliente ya está en su domicilio carrera exitosa ,P,2
Cliente amable,P,2
Mal cliente,N,0
No se encuentra ,N,0
Se va en otra taxi ,N,0
Mil disculpas xfavor mucho trafico ,NEU,1
Se fue en otra ubidad,N,0
Client indica q la carrera a sido terminada,P,2
